"STOCK_CODE","STOCK_NAME","MARKET_TYPE","SECTOR","LISTED_DATE","STATUS"
"001120","LX인터내셔널보통주","KOSPI","상품 중개업",76/01/30,"ACTIVE"
"086960","MDS테크","KOSDAQ","소프트웨어 개발 및 공급업",06/09/26,"ACTIVE"
"023150","MH에탄올보통주","KOSPI","알코올음료 제조업",96/12/24,"ACTIVE"
"181710","NHN보통주","KOSPI","소프트웨어 개발 및 공급업",13/08/29,"ACTIVE"
"338100","NH프라임리츠보통주","KOSPI","부동산 임대 및 공급업",19/12/05,"ACTIVE"
"008260","NI스틸보통주","KOSPI","1차 철강 제조업",75/06/28,"ACTIVE"
"004255","NPC1우선주","KOSPI","화학",90/01/15,"ACTIVE"
"456040","OCI보통주","KOSPI","기초 화학물질 제조업",23/05/30,"ACTIVE"
"010955","S-Oil1우선주","KOSPI","화학",92/05/28,"ACTIVE"
"010950","S-Oil보통주","KOSPI","석유 정제품 제조업",87/05/27,"ACTIVE"
"001770","SHD보통주","KOSPI","1차 철강 제조업",88/11/23,"ACTIVE"
"002360","SH에너지화학보통주","KOSPI","기초 화학물질 제조업",85/12/23,"ACTIVE"
"009160","SIMPAC보통주","KOSPI","1차 철강 제조업",89/07/29,"ACTIVE"
"03473K","SK1우선주","KOSPI","기타금융",15/08/17,"ACTIVE"
"011790","SKC보통주","KOSPI","기타 화학제품 제조업",97/07/18,"ACTIVE"
"018670","SK가스보통주","KOSPI","기타 전문 도매업",97/08/27,"ACTIVE"
"001740","SK네트웍스보통주","KOSPI","기타 전문 도매업",77/06/30,"ACTIVE"
"034730","SK보통주","KOSPI","기타 금융업",09/11/11,"ACTIVE"
"402340","SK스퀘어보통주","KOSPI","기타 금융업",21/11/29,"ACTIVE"
"361610","SK아이이테크놀로지보통주","KOSPI","일차전지 및 이차전지 제조업",21/05/11,"ACTIVE"
"100090","SK오션플랜트보통주","KOSPI","1차 철강 제조업",23/04/19,"ACTIVE"
"096770","SK이노베이션 보통주","KOSPI","석유 정제품 제조업",07/07/25,"ACTIVE"
"001515","SK증권1우선주","KOSPI","증권",89/08/29,"ACTIVE"
